Title,Content,Date,Score,Username,Location,Contribution,Travel with,Review of
Amazing food tour. Highly recommend!,"Amazing tour and 100% recommend anyone to do this food tour on the early end of their trips.
              

              During the tour, we got to try a wide variety of unique foods that we probably wouldn’t have tried without a guide. Our guide, Minh is funny and extremely knowledgable and taught us about the culture, food, history and etiquette of Vietnam/old quarters.","January 1, 2024",5.0,Dominic W,,2,Friends,Hanoi Street Food Tour with local delicacies
Exceptional!,"Highly recommended. Our guide, Minh was outstanding, fun and very knowledgeable. I did it on my second day and it is definately great to do as soon as you get to Hanoi. Enjoy!","January 1, 2024",5.0,borghildbo,"Bergen, Norway",21,Solo,Hanoi Street Food Tour with local delicacies
Great way to start a trip in Vietnam,We had such a great tour with Candy! We learned more about Vietnam and Ha Noi and also loved everything we ate. It was great to do at the beginning of our trip so we knew how to do street food for the rest of our time in Vietnam. I highly recommend!,"December 31, 2023",5.0,ATravels46,Colorado,38,Couples,Hanoi Street Food Tour with local delicacies
Great tour - highly recommend!,"A great tour of all sorts of delicious Hanoi street food we wouldn't have found by ourselves!  We had our 10yr old daughter with us, & she had loads of fun trying all the food (even though she is fussy!) and wandering the streets.
              
              It was also a really good way to see all the old quarter streets, as we were walking. Would highly recommend this both to see Hanoi as well as taste the street food.","December 31, 2023",5.0,Companion45731663812,,1,Family,Private kid-friendly Hanoi food tour with a taste of great dishes
Excellent street food tour in Hanoi,"Minh took us on a tour of some wonderful places to enjoy about eight different dishes. It was so interesting listening to him talking about the food, Vietnamese culture and history, and the life of Hanoians in the old quarter. He was so friendly and was great company. Very highly recommended!","December 30, 2023",5.0,Alexandra P,"London, UK",2,Solo,Hanoi Street Food Tour with local delicacies
great tour with young kids,"great relaxed tour with great service.
              
              had young child on the tour and the tour was very accomodating and was fine to walk around and enjoy the tour.","December 28, 2023",5.0,Jeremy T,,2,,Private kid-friendly Hanoi food tour with a taste of great dishes
Best thing I did in Hanoi,"This was my favourite thing in Hanoi. Minh was funny and interesting, took us to the best places (often inconspicuous) to eat and drink, and I went to couple places again while in Hanoi. Highly recommended.","December 28, 2023",5.0,Osman,"Sydney, Australia",2,Solo,Hanoi Street Food Tour with local delicacies
Wonderful Food Tour,We had an amazing private tour by Candy! She greeted us at our hotel and we walked in the old quarters of Hanoi. We had 7 stops to try some delicious authentic Vietnamese cuisine. I would highly recommend this tour but ensure to go with an appetite as you get so much food. Thanks Candy for the awesome Tour!,"December 27, 2023",5.0,Vacationer592513,Switzerland,15,,Hanoi Street Food Private Tour
Minh is the best!,"Our food tour with Minh was one of the highlights of our trip. Everything was delicious and he was able to accommodate our vegetarian diet. We loved that he taught us about the food, history, and culture.  Our teens loved it too!","December 27, 2023",5.0,Kristin,"Escondido, CA",4,,Hanoi Street Food Tour with local delicacies
Food tour in Hanoi,"Good for the local food, friendly recommendation, nice trip. Thank you very much Candy 👍 what an amazing tour!","December 26, 2023",5.0,Ratchatawan S,,9,Solo,Hanoi Street Food Private Tour
"Amazing street food, entertaining guide, highly recommend to start off your time in Hanoi!","This tour was well worth it! Minh was great - he was incredibly knowledgeable, charismatic, entertaining and funny. We tried some amazing dishes (he was very accommodating to our group’s dietary needs) and we are so glad we did this on our first full day in Hanoi. We visited places we definitely wouldn’t have found on our own and learned about Vietnamese history and culture along the way. Loved getting to know about Minh’s life and about the fellow guests (small group, only six of us was perfect). What a memorable experience that we’d highly recommend!","December 24, 2023",5.0,Lauren H,"Denver, CO",40,,Hanoi Street Food Tour with local delicacies
Exploring the town with our excellent guide!,"Thanks to our guide Huy Vu for doing a great job. The food was yummy and we have a great experience. Due to the recommendations, it gave us tips on what to do here in hanoi if we are planning to explore the place when we are alone. It’s also easy to navigate and a good thing he is here with us on our first day. I recommend to do this tour before exploring hanoi, so that you have an idea on what to do here, where to eat, and what to expect. All in all, our guide is the best. He can speak English well plus he is also friendly.","December 21, 2023",5.0,Fronie B,,2,Family,Private Hanoi Food Tour with Train Street and Local Delights
Great,"Awesome foodtour! In addition to the great local foods we tried and restaurants we visited, tour guide Minh gave us many interestijg insights into the city of Hanoi. Also a lot of recommendation for places to visit in our free time.","December 21, 2023",5.0,Tim R,,1,Friends,Hanoi Street Food Tour with local delicacies
December Tour,"Great food, and Minh was a great guide. Totally recommend the tour, worth the money, and I left full, having had some really good street food.","December 20, 2023",5.0,Nathaniel P,"Sofia, Bulgaria",36,Couples,Hanoi Street Food Tour with local delicacies
Amazing street food tour with Minh - also for Vegetarians,"The street food tour with Minh was really amazing! We got to try so many different foods (savory and sweet) and we went to places which I would have never found before. I am Vegetarian and therefore always a bit hesitant to go to street food places without speaking the language, but we had at every stop great vegetarian food (next to the meat/fish ones) and I could more than enjoy the tour. Minh was a great tour guide - he went over and beyond to ensure that we had a great experience, told us a lot about Hanoi and the food, and has a great sense of humour! Thanks Minh!","December 20, 2023",5.0,Kathi86Cologne,Cologne,18,,Hanoi Street Food Tour with local delicacies
Highly recommended,"Minh showed us places that a tourist would not find and there was a variety of great food.
              
              He also told us a lot about the culture and rules of behavior in Vietnam.","December 20, 2023",5.0,Michael A,"Aarau, Switzerland",8,,Hanoi Street Food Tour with local delicacies
Great street food experience,"Our guide Minh took great care of us - he showed us 9 amazing street food places and also told us a bit about the culture and history of Hanoi. Minh also made sure that my vegetarian girlfriend got a great alternative at each place. We were a small group of 4 which made the whole experience very enjoyable. The tour took about 3,5 hours. I would totally recommend this tour and Minh in particular! ;-)","December 19, 2023",5.0,Dmitry S,,1,,Hanoi Street Food Tour with local delicacies
Highly recommend,"What a great evening! Delicious stops with a wide variety of dishes and a lot of great info. A fantastic way to try many new foods that you can't discover on your as a tourist. Our guide, Minh, was personable and passionate about street food. He made us all feel welcomed and informed. A real foodie.","December 19, 2023",5.0,Donna K,,1,Solo,Hanoi Street Food Tour with local delicacies
Minh is The Man!,"Minh was amazing! His knowledge and insights were fantastic. A good balance of local information and history as well as just general engagement with the group. The food places we got to try were also amazing and it was fantastic to get off the main streets and head to some of the more ""local hot spots"" that we would not normally find ourselves. Minh then did a follow up email with more places we could try and that was awesome too! Highly recommend this tour!","December 18, 2023",5.0,Kiwi_CarlC,"Auckland Central, New Zealand",75,Couples,Hanoi Street Food Tour with local delicacies
Minh is the best tour guide!,"I did a tour with Minh, it was so great, he took us to delicious restaurants and gave us so much information about Vietnam and Hanoi. Highly recommend!","December 18, 2023",5.0,Victor P,,2,,Hanoi Street Food Tour with local delicacies
"Amazing, thanks Minh!!","The food was really nice, we tasted 7 very different dishes in places we probably never would have been to if it wasn't for Minh, our extremely nice and knowledgeable tour guide! Learned tons of stuff about the city and its food, and got to know some awesome locations!!
              
              Even after the tour, Minh provided us with many recommendations for food, coffee, drinks, party, places to see in Hanoi, but also for Hoi An, Hue, as we told him we were going there next!
              
              Totally recommend! Thanks again!!","December 18, 2023",5.0,Nomad48684422510,,3,Solo,Hanoi Street Food Tour with local delicacies
Great food tour in Ha Noi,"The guide Minh is great. Very friendly and patient, has a lot of knowledge about food and beyond. Took us to his unique places.","December 18, 2023",5.0,Itay Z,,1,Solo,Hanoi Street Food Tour with local delicacies
Patrick was awesome.,"Patrick was amazing. Great spots, wide variety of foods and super friendly. Kids loved it. Spoke great English. Would recommend to any family or group. Can’t miss and really made our Hanoi trip","December 17, 2023",5.0,IYLO E,,1,Family,Private kid-friendly Hanoi food tour with a taste of great dishes
Best way to kick of a visit to Hanoi,"Great food tour. Awesome food, highly knowledgeable host that, hidden spots that we would not have found on our own. We loved the food. Minh knows how to convey information and seems genuinely interested in the opinions of his guests.","December 17, 2023",5.0,Romnor T,,1,Couples,Hanoi Street Food Tour with local delicacies
Fun food tour,"Great experience, got to taste new dishes even after spending a month in Vietnam. The guide has a great sense of humour and takes good care of everyone, even vegetarians 😄","December 16, 2023",5.0,Giedre D,,7,,Hanoi Street Food Tour with local delicacies
Outstanding Tour and Tour guide,Got to experience an amazing tour with such a kind and friendly tour guide. Mint was an absolute pleasure to tour the city with and she was extremely kind to our kids and patient through out the whole tour.,"December 16, 2023",5.0,Joshua B,,8,,Private kid-friendly Hanoi food tour with a taste of great dishes
An amazing experience - highly recommend,"Minh, was a great tour guide who was informative, fun and engaging throughout the evening. We learnt a lot not just about food but about Vietnamese culture, way of life and tips for our travel.
              

              We’ve been on a few tours in various countries but this one was the best we’ve experienced to date and Minh as a guide made the experience a highlight of the trip so far.
              

              Minh went above and beyond to cater for the group’s needs, dietary requirements and made the simple things fun.
              

              I would highly recommend this tour to anyone, even if you’re not a foodie. As you’ll have a great time, learn something new, meet some cool new people and most of all taste some amazing food, that we would have never probably discovered by our own.
              

              Thanks for a wonderful evening,
              

              Jon & Georgia.","December 15, 2023",5.0,Jon C,,3,Couples,Hanoi Street Food Tour with local delicacies
A 6 course dinner that has spiced up my trip,"Mint, our tour guide was amazing!  I learned not only about the local food, but also the culture and the language.  The walking tour was relaxing and the food was amazing.  It was an authentic experience, an intimate dinner date with a local Hanoian, a time very well spent.","December 14, 2023",5.0,Safari57537776636,,8,Solo,Hanoi Street Food Tour with local delicacies
Thumbs up! Must try this!!,Loved this tour so much! Minh was super cool with so much knowledge about food and culture and history. Loved how he warned us what to do and NOT TO DO. All his selections of food were amazing and safe and clean. We were 30 minutes late for the tour but the owner took us to the second location to join the tour. They were all so kind and accommodating! Recommend this tour to everyone who loves to find out hidden gems in Hanoi!,"December 13, 2023",5.0,June P,"Vallejo, CA",3,Couples,Hanoi Street Food Tour with local delicacies
"Great food, perfect guide.","The food was fantastic, our guide, Minh, was super fun and knowledgeable. He tailored the tour to the groups preferences and needs. Learned a lot about Vietnam too!","December 12, 2023",5.0,Deven M,,1,Solo,Hanoi Street Food Tour with local delicacies
Minh is the best!,"The tour is AMAZING! One of my favorite tour in Vietnam. Tour guide Minh is super nice and fun to talk to. All the food we tried today was so good, and learned so much about Vietnam. Highly recommend to whomever travels in Hanoi.","December 12, 2023",5.0,Kimi,,2,Solo,Hanoi Street Food Tour with local delicacies
Street food tour in Hanoi,A lovely way to explore the streets and be adventurous with food :) (chicken embryos to egg coffee) whilst learning a bit about culture in Hanoi thanks to Minh’s knowledge.,"December 11, 2023",5.0,bronfitz,"Greater Hobart, Australia",7,,Hanoi Street Food Tour with local delicacies
Do this on your first night in Hanoi!,"Minh was our guide and took us not only to the little restaurants, in small alleys where I never would have gone by myself, but learned us so much more about Vietnamese traditions and history, or how to cross the street in a safe way. We had a great time and I would recommend everyone to do the tour on your first night in Hanoi, to learn about the city and be prepared for your next days.","December 11, 2023",5.0,Camper829668,"Hanoi, Vietnam",1,Couples,Hanoi Street Food Tour with local delicacies
Unforgettable tour to countless streetfood stalls,"Minh is a wonderful guide, he not only arranged for us to taste the different local specialities at many different food stalls but also provided a lot of interesting historical and cultural facts about Hanoi. Being a vegetarian it was not at all a problem to thoroughly enjoy a multitude of dishes that were for me ordered in a vegan or veggie version. The tour is also a great way to get to know the Old Quarter since it takes you to all corners of it. Having such an enthusiastic, fun and friendly guide made this an unforgettable experience.","December 10, 2023",5.0,Anja D,"Doetinchem, The Netherlands",1,Solo,Hanoi Street Food Tour with local delicacies
Huge variety on this fabulous food tour!,A great behind the scenes tour of the food culture in Hanoi. Minh was so much fun and he took us to such a variety of places - places we would never go without his help. We ate and ate and ate.  We learnt so much too!! Thank you Minh - “sticky rice”!!,"December 10, 2023",5.0,C5944RXjane,,11,Couples,Hanoi Street Food Tour with local delicacies
Delicious food tour with the best guide,"We had a great time with Minh. We we’re picked up by Minh from the hotel and together with 2 other ladies he guided us through the city. He taught us a lot, not only about food but also about the people living in Vietnam, the history of the country and countless funny stories. During the tour he also gave us options to go in de following days which we really appreciated. He also sent us a list with recommendations in other cities where we are also going to. We had an amazing evening and ate such delicious food in places we would normally walk by. We really recommend this tour and especially Minh!","December 10, 2023",5.0,AnnemijnHoekman,"Utrecht, The Netherlands",1,Couples,Hanoi Street Food Tour with local delicacies
Jenny is the best!,Small group of 5 people. Jenny from the block was our guide and she was incredible! Super fun energy. She took us to 9 different locations for food and drink. We left the tour full and happy having tried some incredible food. Ask for Jenny to be your guide you will not be disappointed!!,"December 9, 2023",5.0,Portia S,,3,Couples,Hanoi Street Food Tour with local delicacies
Amazing tour,"Great tour! Ask for Jenny, she’s awesome! She knows all the right places and the stories behind them.","December 8, 2023",5.0,Gabriel R,,1,Solo,Hanoi Street Food Tour with local delicacies
Great tour,Visited some great restaurants/street food stalls. Ate enough for the rest of the day. The guide was enthusiastic and had great recommendations for Hanoi but also other cities.,"December 8, 2023",5.0,Paul V,"Drunen, The Netherlands",1,,Hanoi Street Food Tour with local delicacies
Great experience !,A very nice tour with Candy. We ate and discovered many traditionnal dishes in local places. The walk around was nice and we really appreciated that Candy explained a lot about vietnamese culture. Thank you !,"December 7, 2023",5.0,Anne G,"Paris, France",4,Couples,Hanoi Street Food Tour with local delicacies
A definite must do in Vietnam,Amazing selection of eateries. Everything tasted fantastic and authentic. Minh provided so much insight into the history of food in Vietnam and was very knowledgeable. Minh was a great guide with a great sense of humour. Would definitely do this again when we return,"December 7, 2023",5.0,Vanessa S,"Perth, Australia",1,Couples,Hanoi Street Food Tour with local delicacies
Amazing Hanoi food tour,Our guide Mint was amazingly knowledgeable and a pleasure to have as our guide for the lunch tour. She took us to some delicious local places and was able to give us lots of information regarding the local culture and cuisine.,"December 6, 2023",5.0,Olivia Ho,,2,Couples,Hanoi Street Food Tour with local delicacies
Delicious Food!,"Our guide, Mint, was amazing and conducted the tour very well with a great selection of food stops. The dishes were all delicious and so light on the stomach. The best part was that at the end of the tour all of us had different favourite dishes. It was an excellent start to our Vietnamese trip!","December 6, 2023",5.0,aashimii,"Mumbai, India",20,Couples,Hanoi Street Food Tour with local delicacies
First night out in Hanoi,Minh gave us an excellent introduction and made sure to even find vegetarian alternatives ;) perfect way to explore the city,"December 5, 2023",5.0,Nadine H,,1,Couples,Hanoi Street Food Tour with local delicacies
Personalized food tour,Minh was an amazing host who is so passionate about the city’s history and food. His welcoming personality and humor made the tour so enjoyable. He made sure to accommodate for everyone’s dietary restrictions.  Highly recommend!,"December 3, 2023",5.0,Clarice L,,2,Friends,Hanoi Street Food Tour with local delicacies
Mint rocks,"Mint took us on a culinary experience . She is such a joy. Her English and knowledge was excellent and she had a great sense of humour. The tour lasted 3 hours and we had a variety of dishes in local street food places. Some of the food is unusual for Westerners but it's a great experience, and mostly yummy! Mint was great. Ask for Mint, you won't be disappointed.","December 3, 2023",5.0,Cutthroughthebull,"Tauranga, New Zealand",26,Couples,Hanoi Street Food Tour with local delicacies
Amazing introduction to Vietnamese street food,This is one of the best food tours we've ever done! Every bite was to die for. We loved exploring the Old Quarter and learning about Vietnamese culture and cuisine with our guide Luke. He was a wonderful guide - a truly open-hearted and funny individual. He took us to awesome local places and he was completely open to tailoring the tour to the groups needs. He really made our first experience in Hanoi one to remember! Highly recommend!,"November 29, 2023",5.0,Eunice G,,8,Couples,Hanoi Street Food Tour with local delicacies
Wonderful street food tour with Luke,"We went to places where we would probably not go alone, but which are great!!! Excelente food, our guide Luke explained everything so well, it was a pleasure to know him and to participate on the tour. Highly recommended.
              
              Thanks and all the best for Luke.","November 27, 2023",5.0,Jorge Liz,"Porto, Portugal",3,Couples,
Fabulous food tour with Minh,"Such a fabulous experience. Minh added the extra special ingredient to this tour. His energy, passion & endless interesting information added to the excellent variety of foods & drinks  that we enjoyed.","November 26, 2023",5.0,Joanne F,"Perth, Australia",4,,Hanoi Street Food Tour with local delicacies
Good experience,Min was very kind and he explained us many informacions of the city. It was really a good experience.,"November 26, 2023",5.0,Ester P,,1,Solo,Hanoi Street Food Tour with local delicacies
Five stars,"Really nice food tour and our guide was amazing! We tasted really nice Vietnamese food, and the guided honest and caring about our wishes","November 26, 2023",5.0,Laura N,,5,Friends,Hanoi Street Food Tour with local delicacies
Great food and an amazing guide,This was a great tour.  Learned a lot about local food and the subtle differences in some dishes.  We also leaned some interesting things about Hanoi as well.  Out guide Minh was super friendly and his English was extremely good.  I would highly recommend doing this when in Hanoi.,"November 26, 2023",5.0,David B,,1,Family,Hanoi Street Food Tour with local delicacies
A must-do in Hanoi!,"My favourite experience in Hanoi! Minh was great. Super funny and kind, he made everyone feel very welcome. The food was fantastic. We really got a great feel for the cuture and food in this part of Vietnam and learned a lot about the city too. If you are visiting Hanoi I recommend making this your first order of business, so you'll know exactly what to eat and how to navigate the city. Thank you Minh! Five stars!","November 26, 2023",5.0,Chloe B,"Florence, Italy",12,Family,Hanoi Street Food Tour with local delicacies
Hanoi Food Tour,Our guide Luke knows the streets of Hanoi better than the back of his hand. 100% worth the money. We ate and drank plentifully and I got an experience I’d never could’ve had trying to do it myself,"November 25, 2023",5.0,Oliver C,,2,Friends,Hanoi Street Food Tour with local delicacies
Amazing food tour,"Would recommend this tour without hesitation. Vietnam has so many hidden food secrets that you NEED a local to take you around to get the whole experience. We had 11 dishes ALL which were excellent. Honestly a priceless experience. Our guide, Minh had a cancellation so we had a private tour. He didn’t skip a beat. His English is excellent and his communication skills and humor make the quality of the tour amazing. I’m an adventurous eater and he customized the whole experience. Make sure you come hungry because your going to leave very full.
              

              Thanks Minh!!!!
              

              Mark and Megan","November 25, 2023",5.0,Mark Sherberg,,1,,Hanoi Street Food Tour with local delicacies
Don't miss Minh's food tour.,"Minh is an outstanding food guide. He was recommended by my sister who visited Hanoi with friends in July this year and he did not disappoint. He introduced us to a range of street foods and had a lovely rapport with the vendors he had chosen for their speciality foods.
              
              He was an informative guide in the cuisine of Vietnam, the history of Hanoi and safety tips when moving about the city and eating.
              
              I would highly recommend Minh to visitors to Hanoi.","November 23, 2023",5.0,Judith B,,2,Friends,Hanoi Street Food Tour with local delicacies
Thank you Minh!!,Minh was an amazing tour guide. He took us to the local places we would not find on Google. Come hungry because we were all so full after the tour. He also sent us recommendations of other places after our tour which we also visited… great recommendations from a local foodie! Thanks Minh!!,"November 22, 2023",5.0,Elsa C,,1,,Hanoi Street Food Tour with local delicacies
Wonderful local food tour,Minh is a wonderful host and brought us to have fantastic food! I enjoyed his stories and also the very interesting local insight into Hanoi. I'm already craving some of the food I had on this tour!.,"November 22, 2023",5.0,Joanna,,2,Couples,Hanoi Street Food Tour with local delicacies
Lucky is the best food guide,Lucky is legit the best ever food tour! He is very knowledgeable and suggests just the right stuff! There was nothing that we didn’t like! Highly recommended,"November 21, 2023",5.0,Sapna J,,1,Solo,Hanoi Street Food Tour with local delicacies
Amazing cultural and gastronomic experience!,"My wife and I came to celebrate our honeymoon in Vietnam. We contracted with Ha Food Tours and the result was amazing. Luke and Patrick were our guides and they really are experts. They took us to the most iconic places in Vietnam and taught us about their history and culture. At all times we felt safe on the scooter. I highly recommend this tour and order with Luke and Patrick, they are the best. It really was a unique cultural and gastronomic experience.","November 20, 2023",5.0,Sebastián H,,2,Couples,Hanoi Sightseeing And Food Tour By Scooter
Hanoi Food Tour,This was the best food tour that I went on throughout my travels. Minh is extremely personable and took us to great spots. There's a variety of food so everyone can find their new favorite dish- if you have a few hours in Hanoi I definitely recommend his tour!,"November 20, 2023",5.0,mageggs,"Saint Louis, MO",8,,Hanoi Street Food Tour with local delicacies
Excellent tour of local spots,"Had an amazing tour with Luke exploring the local spots to eat delicious Vietnamese food. Luke was knowledgeable and entertaining, I’d definitely recommend!","November 18, 2023",5.0,Ben C,,3,Friends,Vietnamese Home Cooking Class in Hanoi
The best food tour!,We loved our private food and sight seeing tour with Luke and Patrick. They listened to what we wanted from the day and tailored the plan to make sure we got the most out of it. The local places they took us to were incredible!! We felt really safe on the scooters and they took some great photos. Our only regret is we didnt do the tour on our first day as we discovered many more places we would love to go but ran out of time in Hanoi. Thanks Patrick and Luke for a fabulous day!,"November 18, 2023",5.0,Olivia C,,9,Couples,Hanoi Sightseeing And Food Tour By Scooter
You must do this when in Hanoi. Food tour with Minh.,"If you're reading this then please take this advice. Go Go Go! Take this opportunity to have a fantastic experience. Minh, our food guide was so informative, super personality, had great English and took us to some wonderful places that you wouldn't find on your own. The food was varied and wonderful. If there's one thing you do when in Hanoi then it's this!","November 18, 2023",5.0,A M,,2,Friends,Hanoi Street Food Tour with local delicacies
Female lead food tour,"Came solo to Hanoi with no real plan when the hotel manager of the place I’m staying at suggested a food tour. To my surprise I was greeted by the sweetest guide, Mint! Very sweet person who gave us a lot of local insights and made us try food items I’d probably not have tried myself (try pigeon salad if you have the chance!)
              

              It was a great night! I was joined by another female traveller and we ended up having a girl food tour! Thank you again Mint for making my first day in Hanoi memorable :)","November 17, 2023",5.0,Diana P,,2,Solo,Hanoi Street Food Tour with local delicacies
Food tour was the highlight of my time in Hanoi,Mint was an informative guide who took our small group on a food tour in the old quarter of Hanoi. We had so much delicious food and got to try a variety of dishes tailored to our dietary preferences. Mint was so friendly and welcoming and she gave us tips and recommendations for the rest of our stay in Hanoi. Thank you Mint!,"November 17, 2023",5.0,hrh105,"Saskatoon, Canada",5,Solo,Hanoi Street Food Tour with local delicacies
"Minh was amazing, great food","Minh was an amazing tour guide, his food choices were incredible even for fussy eaters. He was very accomodating to likes, dislikes and allergies. He had great knowledge of Vietnamese culture and history to share as well. Highly recommend this food tour and Minh","November 17, 2023",5.0,Brooke L,,2,Couples,Hanoi Street Food Tour with local delicacies
Great way to set your feet in Hanoi,Trung is a great guide. He explained the Vietnamese culture  and food very well. The whole tour is very relaxing and in a good pace. Food items are nicely selected and delicious. We had a great time thanks to Trung!,"November 17, 2023",5.0,Amy H,,2,,Hanoi Street Food Tour with local delicacies
Great experience,"Luke met us at our hotel and escorted us around Hanoi Old Town to taste some amazing local delicacies.  Luke's knowledge of local food was first class, we got to try food we would not otherwise have done and to try rice beer.","November 16, 2023",5.0,Marina F,,1,Couples,Hanoi Street Food Tour with local delicacies
The Best Food Tour in Hanoi,"The perfect food tour in Hanoi, if you want to experience local and traditional street food in the old quarter of Hanoi!
              
              Minh the guide is just the best, he is very knowledgeable and funny at the same time! He has many stories to tell!
              
              100% recommendable","November 16, 2023",5.0,Trail23859678449,"Palma de Mallorca, Spain",13,Solo,Hanoi Street Food Tour with local delicacies
Amazing food. Even more amazing company,"The food was amazing! My tourguide, Minh Đỗ, took me to places that even a local would consider delicious. Minh is also very well versed in a variety of topics about Vietnam, especially history. You can have a lot of interesting conversations with him while enjoying the good food!","November 15, 2023",5.0,Xuan D,,1,Solo,Hanoi Street Food Tour with local delicacies
Great tour! Ask for Minh,"Great tour! Our guide Minh was incredibly knowledgeful and showed us all the best hidden gems around Hanoi that we would've never found on our own. The Hủ Tíu Cá Trộn was my favorite and was located off the beaten path in this little alley way.
              
              Highly recommend","November 14, 2023",5.0,Peter S,,1,Friends,Hanoi Street Food Tour with local delicacies
"The best guide in Vietnam, hands down.","Thank you Jack for making our time in Hanoi amazing and showing us the best local spots, you showed us the real Hanoi through delicious food. We will be forever grateful!!","November 14, 2023",5.0,Kimba C,"Melbourne, Australia",18,Couples,
Fantastic insight into the Food Culture of Hanoi,"Our guide, Minh, was phenomenal. He's a local with so much experience in the city that he was able to take the energy of our group and tailor our food tour to our tastes. He brought us to street food spots we would never try on our own, or even knew existed, and showed us local dishes from classic Pho No to a fish cake with a unique noodle to freshly made pomegranate juice down an alley. During our meals he told us (in excellent English) about the local food and culture, the people, all while adding humourous stories amid conversation. To finish off the tour he emailed us a list of things to do and where else to eat in Hanoi as well as other cities including Hoi An. We have been travelling for days based on his recommendations of street food. Is there a word above highly recommend?","November 12, 2023",5.0,Francois L,,1,Couples,Hanoi Street Food Tour with local delicacies
Foodtour for your first day,"Would definitely recommend this Foodtour when you just arrived in Vietnam and did not have any of the typical Vietnamese dishes like Banh mi and pho yet. Our guide Mint was very friendly, her English was good and she provided us with lots of informations.","November 11, 2023",5.0,CindyMAPH,Berlin,3,Solo,Hanoi Street Food Tour with local delicacies
A must do!,We were so pleased that we did this tour.  Trung was our guide and he was fantastic!  The group size is kept to a maximum of 6 which is ideal and personal.  There is so much food - make sure you don't eat before you go.  Dietary requirements are also considered and options provided where possible.,"November 11, 2023",5.0,Kara M,"Darwin, Australia",154,Couples,Hanoi Street Food Tour with local delicacies
Minh is a great guide for foodtour in Hanoi,"Minh took us for a wonderful foodtour in the Old Quarter in Hanoi.
              
              The food was exciting and very delicious. We loved all of it.
              
              Minh is a very knowledgeable and caring guide, giving a very personal experience. Lots of information and tips about history, sight, food, drinks and how to get around in Hanoi. And also tips to avoid scam and trouble.
              
              After the tour ended he send us a bunch of information with tips for thing to do and where and what to eat. Not only for Hanoi but also for other place we will be going.
              
              Minh was a great help and a great guide. We truly appreciate that.","November 11, 2023",5.0,LeneKristensen,"Roedovre, Denmark",4,,Hanoi Street Food Tour with local delicacies
Just The Best!!,"This is the tour you want in Hanoi! Our guide, Candy, was so perfect! She put us at ease, took control, spoiled us and helped us to understand the beautifully vibrant, often chaotic street food culture.  We ate such wonderful dishes and met such sweet and interesting people - all under the confident care of Candy! It takes a lot of work to get to where Candy is- she knows everyone and pointed out interesting facts, and great places -  advice that will last throughout our visit to Vietnam! We booked this private tour on our first full day in Hanoi and  it really oriented us to the city and how to navigate the traffic and wonderful crush of humanity here!  Don’t hesitate to book HA Food Tours - and ask for Candy!","November 10, 2023",5.0,IngridNY1111,"New York City, NY",50,,Hanoi Street Food Tour with local delicacies
"Delicious food, amazing guide","Candy was my street food tour guide and the experience exceeded my expectations 🤩 we tried around 7 dishes (I was so full couldn't fit in more), shared stories and has just a pleasant walk in the old town. Can totally recommend her ❤️","November 9, 2023",5.0,Anna,,2,Solo,Hanoi Street Food Tour with local delicacies
Delicious food tour,"This is a wonderful experience and well worth the price. The dishes we tried were delicious and new to me. Most of all, I loved our guide Luke who talked about life in Hanoi and brought a great attitude!","November 9, 2023",5.0,Zachary D,,2,Couples,Hanoi Street Food Tour with local delicacies
"Excellent, Delicious Food Tour",Minh was an excellent tour guide. He showed us a wide variety of delicious food. Stuff that would be hard to find unless you are a local. Definitely recommend!,"November 8, 2023",5.0,kfitzpa4,"New York City, NY",4,,Hanoi Street Food Tour with local delicacies
Great food tour,Had a great walking food tour lead by Minh who picked us up from our hotel. Went to 9 different places over 3hrs all very tasty and learnt about Hanoi along the way. 100% recommend especially if just arrived in the city,"November 7, 2023",5.0,C_R_B_1397,"Nelson-Tasman Region, New Zealand",2,Couples,Hanoi Street Food Tour with local delicacies
Foodtour with a experienced Guide,The tour with Minh trough the old quarter of Hanoi was amazing. He showed us some nice tricks how to survive in the big city.  We ate only at placed he know very well,"November 7, 2023",5.0,Sightsee36228594373,,10,Friends,Hanoi Street Food Tour with local delicacies
Unmatched hospitality and food,"Luke was my guide. I usually never book food tours and just wing it myself. This was such An amazing experience for me, especially with being a chef where I travel the world to try food. The amount of hospitality is unmatched to anything else. Food is about being at the table together and enjoying each others company and Luke really brought that for me and the group as well. He made sure everyone felt comfortable where we went. I highly recommend this especially if it’s your first time in Hanoi. I would do this again and again.","November 7, 2023",5.0,Gaby S,,2,Solo,Hanoi Street Food Tour with local delicacies
Amazing  food even better guide,We had a great tour with Luke he was very passionate about the food and really helped us out with knowing the foods around Hanoi. Would go again just because they can change up what you try if you want. Either way go hungry cause you get a lot.,"November 7, 2023",5.0,sean C,,3,Couples,Hanoi Street Food Tour with local delicacies
Totally memorable Hanoi experience!,"Joining Lucky on a street food tour was a delightful experience. Lucky's deep knowledge of local street food was truly impressive, and their warmth and hospitality made the tour even more enjoyable. We got to savor a delightful variety of dishes, and Lucky's recommendations were absolutely on point. If you're looking for an incredible street food adventure, I highly recommend Lucky's tour – it's an absolute gem!","November 5, 2023",5.0,Kim W,,5,Couples,Hanoi Street Food Tour with local delicacies
